schname	district	hardcoded_addresses	Start_Date	State	LSTREE	LCITY	LZIP	LATCOD	LONCOD	Eval_sample	district_coach	cluster_recruitment	full_implementer	Analysis_Sample	FDIST
LEAGUE SCHOOL AND DAY TREATMENT CENTER		567 Kingston Avenue, Brooklyn, NY 11203	2010	NY						0	0	0	1	0	1
WEST UNION ELEMENTARY SCHOOL	ADAMS		2010	OH	555 LLOYD RD	WEST UNION	45693	38.818073	-83.581175	0	0	0	0	0	1
DESERT TRAIL	ADELANTO		2012	CA	14350 BELLFLOWER RD	ADELANTO	92301	34.510255	-117.417663	0	0	0	1	0	1
JEFFERSON-HOUSTON SCHOOL	ALEXANDRIA CITY		2011	VA	1501 CAMERON ST	ALEXANDRIA	22314	38.807899	-77.055657	0	0	0	1	0	1
SEVILLA WEST	ALHAMBRA		2013	AZ	3851 WEST MISSOURI AVE	PHOENIX	85019	33.516206	-112.143627	0	0	1	0	0	1
FAIRFAX ELEMENTARY SCHOOL	ALLENDALE		2010	SC	734 14TH ST EAST	FAIRFAX	29827	32.950996	-81.230691	0	0	0	1	0	1
MCKINLEY ELEMENTARY	ALLENTOWN		2010	PA	1124 WEST TURNER ST	ALLENTOWN	18102	40.602171	-75.482019	0	1	0	0	0	1
ALLIANCE MIDDLE SCHOOL	ALLIANCE		2010	OH	3205 SOUTH UNION AVE	ALLIANCE	44601	40.889084	-81.10929	0	0	1	0	0	1
HERITAGE ACADEMY	ATLANTA		2011+	GA	3500 VILLA CIRCLESE	ATLANTA	30354	33.658834	-84.37859	0	1	1	1	0	1
OCEANSIDE CHARTER SCHOOL	ATLANTIC CITY		2011	NJ	1750 BACHARACH BLVD	ATLANTIC CITY	08404	39.363541	-74.434983	0	0	0	1	0	1
BARBOURVILLE INDEPENDENT	BARBOURVILLE		2011	KY	140 SCHOOL ST	BARBOURVILLE	40906	36.871234	-83.893202	0	0	0	1	1	1
MONTARA ELEMENTARY	BARSTOW		2013	CA	700 MONTARA RD	BARSTOW	92311	34.880233	-116.994332	0	0	1	0	0	1
BAY BROOK ELEMENTARY	BCPS		2013	MD	4301 10TH ST	BALTIMORE	21225	39.225579	-76.597641	0	1	1	1	0	1
BESSEMER PRESCHOOL	BESSEMER		2011	AL	1200 23RD ST NORTH	BESSEMER	35020	33.412572	-86.960252	0	0	1	0	0	1
BEECH BOTTOM PRIMARY	BROOKE COUNTY		2013	WV	HIGH ST	BEECH BOTTOM	26030	40.225829	-80.650912	0	0	0	0	0	1
AL SEELIGER	CARSON CITY		2012	NV	2800 SOUTH SALIMAN RD	CARSON CITY	89706	39.142042	-119.753602	0	0	1	1	0	1
CENTRAL MIDDLE SCHOOL	CENTRAL		2010	ND	325 7TH ST NE	DEVILS LAKE	58301	48.115326	-98.860647	0	0	0	0	0	1
NORTHRIDGE MIDDLE SCHOOL	CHARLOTTE-MECKLENBURG		2012	NC	7601 THE PLAZA	CHARLOTTE	28215	35.259771	-80.730709	0	0	0	0	0	1
ELIZONDO-EDISON ELEMENTARY	CLARK COUNTY		2011	NV	4865 GOLDFIELD ST	NORTH LAS VEGAS	89031	36.24793	-115.1396	0	0	0	1	1	1
CLAYSBURG-KIMMEL	CLAYSBURG-KIMMEL		2012	PA	240 CK ELEMENTARY DR	CLAYSBURG	16625	40.294028	-78.465259	0	0	0	1	0	1
FLAT ROCK	DEKALB		2012	GA	4603 EVANS MILL RD	LITHONIA	30038	33.658837	-84.159732	0	1	1	1	0	1
HARMS	DETROIT		2012	MI	2400 CENTRAL ST	DETROIT	48209	42.314418	-83.124775	0	1	1	1	0	1
DILLON MIDDLE SCHOOL	DILLON		2010	SC	301 MARTIN LUTHER KING JR BLVD	DILLON	29536	34.422808	-79.371363	0	0	0	0	0	1
HARRIET TUBMAN SCHOOL	DOLTON		2010	IL	333 EAST 142ND ST	DOLTON	60419	41.635637	-87.613282	0	0	1	0	0	1
SNOW CREEK	FRANKLIN COUNTY		2010	VA	5393 SNOW CREEK RD	PENHOOK	24137	36.833906	-79.754682	0	0	0	1	0	1
RIFLE MIDDLE SCHOOL	GARFIELD		2012+	CO	753 RAILROAD	RIFLE	81650	39.535026	-107.784094	0	1	0	0	0	1
EISENHOWER ELEMENTARY	GEARY		2011+	KS	1625 ST MARYS RD	JUNCTION CITY	66441	39.009491	-96.859211	0	1	1	0	0	1
RUPERT ELEMENTARY	GREENBRIER COUNTY		2011	WV	ANJEAN RD	RUPERT	25984	37.965523	-80.687698	0	0	0	0	0	1
YARDVILLE ELEMENTARY SCHOOL	HAMILTON		2013	NJ	450 YARDVILLE ALLENTOWN RD	TRENTON	08620	40.177438	-74.662402	0	0	0	0	0	1
ESTILL MIDDLE SCHOOL	HAMPTON		2010	SC	555 3RD ST WEST	ESTILL	29918	32.753406	-81.231951	0	0	0	0	0	1
HOPE FOR HYNDMAN	HYNDMAN		2012	PA	130 SCHOOL DR	HYNDMAN	15545	39.72298	-78.77454	0	0	0	1	0	1
BABOQUIVARI MIDDLE SCHOOL	INDIAN OASIS		2010	AZ	111 WEST MAIN	SELLS	85634	31.917715	-111.861876	0	0	0	0	0	1
WYATT ACADEMY	JOHNSTONVILLE		2013	CO	3620 FRANKLIN ST	DENVER	80205	39.767452	-104.968026	0	0	0	1	0	1
ELOLF	JUDSON		2011	TX	6335 BEECH TRL	CONVERSE	78109	29.486244	-98.317584	1	0	0	1	1	1
KANE AREA ELEMENTARY	KANE		2011	PA	400 WEST HEMLOCK AVE	KANE	16735	41.655745	-78.813292	0	0	0	1	1	1
KNOX COUNTY MIDDLE SCHOOL	KNOX		2010	KY	311 NORTH MAIN ST	BARBOURVILLE	40906	36.87053	-83.89096	0	1	1	0	0	1
HARDING MIDDLE SCHOOL	LAKEWOOD		2010	OH	16601 MADISON AVE	LAKEWOOD	44107	41.477187	-81.812846	0	0	0	0	0	1
LAS ANIMAS SECONDARY SCHOOL	LAS ANIMAS		2010	CO	300 GROVE AVE	LAS ANIMAS	81054	38.070772	-103.229269	0	0	0	0	0	1
100 ACADEMY OF EXCELLENCE	LAS VEGAS		2013	NV	2341 COMSTOCK	NORTH LAS VEGAS	89032	36.201478	-115.165277	0	0	0	1	0	1
JAMES STEPHENS INTERNATIONAL ACADEMY	LEE COUNTY		2010	SC	1333 MARSH AVE	FORT MYERS	33905	26.653612	-81.828211	0	0	0	1	0	1
HELEN STEINER RICE ELEMENTARY	LORAIN		2011+	OH	4500 TACOMA AVE	LORAIN	44055	41.429389	-82.110554	0	1	1	1	0	1
LONE OAK	MCCRACKEN		2013	KY	2501 MARSHALL AVE	PADUCAH	42003	37.04112	-88.649343	0	0	1	0	0	1
VIBES CHARTER SCHOOL	MEDFORD	821 North Riverside Avenue, Medford, OR 97501	2013	OR						0	0	0	0	0	1
MERCHANTVILLE SCHOOL	MERCHANTVILLE		2011	NJ	130 SOUTH CENTRE ST	MERCHANTVILLE	08109	39.949294	-75.04887	0	0	0	0	0	1
EL RITO	MESA VISTA		2013	NM	10 ELEMENTARY RD	EL RITO	87530	36.330749	-106.185858	0	0	0	1	0	1
MESA	MONTEZUMA-CORTEZ		2012	CO	703 WEST 7TH ST	CORTEZ	81321	37.340938	-108.59491	0	0	0	1	0	1
MOSS POINT KINDER-QUEST	MOSS POINT		2010	MS	3524 PRENTISS ST	MOSS POINT	39563	30.398285	-88.550491	0	0	0	0	0	1
LOVING	NEW PARADIGM		2011	MI	1000 LYNN ST	DETROIT	48211	42.391783	-83.075433	0	0	0	1	1	1
BOYS AND GIRLS HARBOR, INC.	NEW YORK CITY	1 East 104th Street, New York, NY 10029	2011	NY						0	0	0	0	0	1
NORTH BERGEN PRESCHOOL	NORTH BERGEN		2011	NJ	1206 63RD ST	NORTH BERGEN	07047	40.794477	-74.019784	0	0	0	0	0	1
NORTH PARK	NORTH PARK		2011	CO	910 4TH ST	WALDEN	80480	40.732413	-106.276787	0	0	0	0	0	1
NORTHPOINTE ACADEMY	NORTHPOINTE		2010	MI	53 CANDLER ST	HIGHLAND PARK	48203	42.41495	-83.100778	0	0	0	1	0	1
PS 64	NYC		2012	NY	1425 WALTON AVE	BRONX	10452	40.840316	-73.915691	0	0	0	1	0	1
ROBERT E. HOWARD MIDDLE SCHOOL	ORANGEBURG		2010	SC	1255 BELLEVILLE RD	ORANGEBURG	29115	33.49959	-80.840093	0	0	0	0	0	1
BEN FRANKLIN	ORLEANS PARISH		2011	LA	1116 JEFFERSON AVE	NEW ORLEANS	70115	29.923429	-90.114775	0	0	0	0	0	1
OWSLEY ELEMENTARY	OWSLEY		2012	KY	BAKER LN	BOONEVILLE	41314	37.47391	-83.6698	0	0	0	1	0	1
PAR EXCELLENCE ACADEMY	PAR EXCELLENCE		2011	OH	96 MAHOLM ST	NEWARK	43055	40.051404	-82.423752	0	0	0	1	1	1
LORENZO SMITH	PEMBROKE		2012	IL	4120 SOUTH WHEELER RD	PEMBROKE TOWNSHIP	60958	41.0655	-87.6009	0	0	0	1	0	1
VALLEY PARK	PENNSVILLE		2012	NJ	63 MAHONEY RD	PENNSVILLE	08070	39.634105	-75.504485	0	0	0	0	0	1
BACA/DLO'AY AZHI COMMUNITY SCHOOL	PREWITT		2010	NM	PO BOX 509	PREWITT	87045	35.36669	-108.05467	0	0	0	0	0	1
VALLEY VIEW	PRINCE GEORGE		2011	MD	5500 DANBY AVE	OXON HILL	20745	38.811682	-76.976117	0	0	0	1	1	1
LINCOLN HEIGHTS	PRINCETON CITY		2011	OH	1113 ADAMS ST	CINCINNATI	45215	39.24136	-84.4549	0	1	1	1	1	1
MILLER INTERMEDIATE SCHOOL	PUTNAM		2011+	FL	101 SOUTH PROSPECT ST	CRESCENT CITY	32112	29.428346	-81.508407	0	1	1	0	0	1
QUINTON TOWNSHIP SCHOOL	QUITON TOWNSHIP		2011	NJ	ROBINSON ST	QUINTON	08072	39.543046	-75.411184	0	0	0	0	0	1
M. O. BUSH ELEMENTARY	ROOSEVELT		2010	AZ	602 EAST SIESTA DR	PHOENIX	85042	33.365674	-112.069013	0	1	1	1	0	1
CHARLES C. BALL	SAN ANTONIO		2011	TX	343 KOEHLER CT	SAN ANTONIO	78223	29.366811	-98.461445	1	1	0	1	1	1
SANDERS ELEMENTARY	SANDERS		2011	AZ	I40 AND HWY 191 SOUTH	SANDERS	86512	35.219465	-109.334819	0	0	0	1	1	1
FORT MYERS MIDDLE ACADEMY	SEMINOLE		2010	FL	3050 CENTRAL AVE	FORT MYERS	33901	26.6208	-81.864986	0	0	1	0	0	1
DELCROFT SCHOOL	SOUTEAST DELCO		2010	PA	799 SCHOOL LN	FOLCROFT	19032	39.890226	-75.2812	0	0	0	0	0	1
STEELTON-HIGHSPIRE ELEMENTARY SCHOOL	STEELTON-HIGHSPIRE		2010	PA	SWATARA ST AND REYNDERS AVE	STEELTON	17113	40.238133	-76.831957	0	0	0	0	0	1
WELLS ACADEMY	STEUBENVILLE		2011+	OH	420 NORTH 4TH ST	STEUBENVILLE	43952	40.36336	-80.614376	0	1	0	1	1	1
SUCCESS ACADEMY BRONX 3	SUCCESS CHARTER NETWORK	968 Cauldwell Avenue, Floor 3 Bronx, NY 10456	2013	NY						0	0	1	0	0	1
SUMMIT VIEW	SUNNYSIDE		2011	AZ	1900 EAST SUMMIT ST	TUCSON	85706	32.06698	-110.9446	1	1	1	1	1	1
ALLEN ACADEMY	THE LEONA GROUP		2011	MI	8666 QUINCY ST	DETROIT	48204	42.364083	-83.119357	0	0	0	1	1	1
TOP LEARNING CENTERS	THE OPPORTUNITY PROJECT	2665 N. Arkansas , Wichita, KS 67204	2011	KS						0	0	1	0	0	1
SECOR GARDEN	TOLEDO	3319 Nebraska Ave Toledo, OH 43607	2013	OH						0	0	0	1	0	1
KARAFFA ELEMENTARY	TORONTO		2011	OH	1307 DENNIS WAY	TORONTO	43964	40.453776	-80.613322	0	0	0	1	1	1
CHRISTINA SEIX ACADEMY	TRENTON	1550 Stuyvesant Ave, Trenton, NJ 08618	2013	NJ						0	0	0	0	0	1
URBAN DAY SCHOOL - 12TH ST. CAMPUS	URBAN DAY SCHOOL		2010	WI	1441 NORTH 24TH ST	MILWAUKEE	53205	43.049204	-87.942835	0	0	0	1	0	1
VAN-FAR JUNIOR HIGH	VAN-FAR		2010	MO	2200 HWY 54 WEST	VANDALIA	63382	39.300502	-91.513199	0	0	0	0	0	1
GARFIELD	WELLSVILLE		2012	OH	1600 LINCOLN AVE	WELLSVILLE	43968	40.59945	-80.65802	0	0	1	1	0	1
DEVALL MIDDLE SCHOOL	WEST BATON ROUGE		2013	LA	11851 NORTH RIVER RD	PORT ALLEN	70767	30.539652	-91.293008	0	0	0	0	0	1
WEST BRANCH AREA ELEMENTARY SCHOOL	WEST BRANCH		2010	PA	356 ALLPORT CUTOFF	MORRISDALE	16858	40.9783	-78.2011	0	0	0	1	0	1
PARK LANE ELEMENTARY	WILLIAM PENN		2011	PA	1300 PARK LN	DARBY	19023	39.925721	-75.263307	0	1	1	1	1	1
MARTIN LUTHER KING JR.	WYANDACH		2012	NY	792 MOUNT AVE	WYANDANCH	11798	40.745736	-73.362217	0	0	0	0	0	1
MCKINLEY K-8	YORK		2012	PA	600 MANOR ST	YORK	17403	39.952368	-76.729672	0	0	1	1	0	1
