LZIP	LATCOD	LONCOD	Eval_sample	district_coach	cluster_recruitment	full_implementer	Analysis_Sample	FDIST
			0	0	0	1	0	1
45693	38.818073	-83.581175	0	0	0	0	0	1
92301	34.510255	-117.417663	0	0	0	1	0	1
22314	38.807899	-77.055657	0	0	0	1	0	1
85019	33.516206	-112.143627	0	0	1	0	0	1
29827	32.950996	-81.230691	0	0	0	1	0	1
18102	40.602171	-75.482019	0	1	0	0	0	1
44601	40.889084	-81.10929	0	0	1	0	0	1
30354	33.658834	-84.37859	0	1	1	1	0	1
08404	39.363541	-74.434983	0	0	0	1	0	1
40906	36.871234	-83.893202	0	0	0	1	1	1
92311	34.880233	-116.994332	0	0	1	0	0	1
21225	39.225579	-76.597641	0	1	1	1	0	1
35020	33.412572	-86.960252	0	0	1	0	0	1
26030	40.225829	-80.650912	0	0	0	0	0	1
89706	39.142042	-119.753602	0	0	1	1	0	1
58301	48.115326	-98.860647	0	0	0	0	0	1
28215	35.259771	-80.730709	0	0	0	0	0	1
89031	36.24793	-115.1396	0	0	0	1	1	1
16625	40.294028	-78.465259	0	0	0	1	0	1
30038	33.658837	-84.159732	0	1	1	1	0	1
48209	42.314418	-83.124775	0	1	1	1	0	1
29536	34.422808	-79.371363	0	0	0	0	0	1
60419	41.635637	-87.613282	0	0	1	0	0	1
24137	36.833906	-79.754682	0	0	0	1	0	1
81650	39.535026	-107.784094	0	1	0	0	0	1
66441	39.009491	-96.859211	0	1	1	0	0	1
25984	37.965523	-80.687698	0	0	0	0	0	1
08620	40.177438	-74.662402	0	0	0	0	0	1
29918	32.753406	-81.231951	0	0	0	0	0	1
15545	39.72298	-78.77454	0	0	0	1	0	1
85634	31.917715	-111.861876	0	0	0	0	0	1
80205	39.767452	-104.968026	0	0	0	1	0	1
78109	29.486244	-98.317584	1	0	0	1	1	1
16735	41.655745	-78.813292	0	0	0	1	1	1
40906	36.87053	-83.89096	0	1	1	0	0	1
44107	41.477187	-81.812846	0	0	0	0	0	1
81054	38.070772	-103.229269	0	0	0	0	0	1
89032	36.201478	-115.165277	0	0	0	1	0	1
33905	26.653612	-81.828211	0	0	0	1	0	1
44055	41.429389	-82.110554	0	1	1	1	0	1
42003	37.04112	-88.649343	0	0	1	0	0	1
			0	0	0	0	0	1
08109	39.949294	-75.04887	0	0	0	0	0	1
87530	36.330749	-106.185858	0	0	0	1	0	1
81321	37.340938	-108.59491	0	0	0	1	0	1
39563	30.398285	-88.550491	0	0	0	0	0	1
48211	42.391783	-83.075433	0	0	0	1	1	1
			0	0	0	0	0	1
07047	40.794477	-74.019784	0	0	0	0	0	1
80480	40.732413	-106.276787	0	0	0	0	0	1
48203	42.41495	-83.100778	0	0	0	1	0	1
10452	40.840316	-73.915691	0	0	0	1	0	1
29115	33.49959	-80.840093	0	0	0	0	0	1
70115	29.923429	-90.114775	0	0	0	0	0	1
41314	37.47391	-83.6698	0	0	0	1	0	1
43055	40.051404	-82.423752	0	0	0	1	1	1
60958	41.0655	-87.6009	0	0	0	1	0	1
08070	39.634105	-75.504485	0	0	0	0	0	1
87045	35.36669	-108.05467	0	0	0	0	0	1
20745	38.811682	-76.976117	0	0	0	1	1	1
45215	39.24136	-84.4549	0	1	1	1	1	1
32112	29.428346	-81.508407	0	1	1	0	0	1
08072	39.543046	-75.411184	0	0	0	0	0	1
85042	33.365674	-112.069013	0	1	1	1	0	1
78223	29.366811	-98.461445	1	1	0	1	1	1
86512	35.219465	-109.334819	0	0	0	1	1	1
33901	26.6208	-81.864986	0	0	1	0	0	1
19032	39.890226	-75.2812	0	0	0	0	0	1
17113	40.238133	-76.831957	0	0	0	0	0	1
43952	40.36336	-80.614376	0	1	0	1	1	1
			0	0	1	0	0	1
85706	32.06698	-110.9446	1	1	1	1	1	1
48204	42.364083	-83.119357	0	0	0	1	1	1
			0	0	1	0	0	1
			0	0	0	1	0	1
43964	40.453776	-80.613322	0	0	0	1	1	1
			0	0	0	0	0	1
53205	43.049204	-87.942835	0	0	0	1	0	1
63382	39.300502	-91.513199	0	0	0	0	0	1
43968	40.59945	-80.65802	0	0	1	1	0	1
70767	30.539652	-91.293008	0	0	0	0	0	1
16858	40.9783	-78.2011	0	0	0	1	0	1
19023	39.925721	-75.263307	0	1	1	1	1	1
11798	40.745736	-73.362217	0	0	0	0	0	1
17403	39.952368	-76.729672	0	0	1	1	0	1
